source_html,markdown,title,date,category,word_count,image_count
case-2026-04-29-faucet-leak-replacement-repair.html,posts_md/2026/case-2026-04-29-faucet-leak-replacement-repair.md,"울산 북구 아파트 욕실 슬라이드장 떨어짐 직전, 거울장 추락 위기 긴급 고정 사례",2026-04-29,욕실수리,293,8
case-2026-04-29-hogye-breaker-replacement.html,posts_md/2026/case-2026-04-29-hogye-breaker-replacement.md,"울산 북구 호계동 정전 해결, 요양보호사교육원 누전차단기 교체 사례",2026-04-29,전기수리,310,8
case-2026-05-01-shashi-replacement-repair.html,posts_md/2026/case-2026-05-01-shashi-replacement-repair.md,"울산 북구 천곡동 원동 현대아파트 샤시 교체, 냉난방비 걱정 끝낸 실제 후기",2026-05-01,샤시수리,362,8
case-2026-05-15-combi-rollscreen-install.html,posts_md/2026/case-2026-05-15-combi-rollscreen-install.md,울산 북구 상안동 쌍용아진아파트 베란다 콤비 롤스크린 시공,2026-05-15,문수리,365,8
case-2026-05-24-switch-flicker-repair.html,posts_md/2026/case-2026-05-24-switch-flicker-repair.md,울산 북구 천곡동 삼성코아루 전등 깜빡임과 스위치 교체 해결,2026-05-24,전기수리,398,8
case-2026-05-25-daemun-sagging-repair.html,posts_md/2026/case-2026-05-25-daemun-sagging-repair.md,"울산 중구 남외동 대문수리 후기, 내려앉은 문짝과 방문 틀어짐 해결 현장",2026-05-25,문수리,554,9
case-2026-05-25-namoe-gate-door-door-frame.html,posts_md/2026/case-2026-05-25-namoe-gate-door-door-frame.md,"울산 중구 남외동 대문수리 후기, 내려앉은 문짝과 방문 틀어짐 해결 현장",2026-05-25,문수리,225,9
case-2026-06-04-himpel-fan-replacement.html,posts_md/2026/case-2026-06-04-himpel-fan-replacement.md,울산 북구 중산동 화장실 냄새 차단 경동그린맨션 힘펠 환풍기 교체,2026-06-04,욕실수리,332,8
case-2026-06-05-aileen-shower-repair.html,posts_md/2026/case-2026-06-05-aileen-shower-repair.md,울산 북구 매곡동 에일린의뜰 욕실 수전 누수 해바라기 샤워기 철거 후 일반 수전 교체,2026-06-05,욕실수리,386,8
case-2026-06-05-sink-collapse.html,posts_md/2026/case-2026-06-05-sink-collapse.md,"울산 북구 세면대 교체, 신천동 무지개아파트 세면대 붕괴 복구",2026-06-05,욕실수리,364,8
case-2026-06-06-baeksan-leak.html,posts_md/2026/case-2026-06-06-baeksan-leak.md,울산 중산동 백산그린타운아파트 천장 누수 곰팡이 복구,2026-06-06,누수수리,401,9
case-2026-06-06-door-repair.html,posts_md/2026/case-2026-06-06-door-repair.md,울산 북구 협성노블리스 방화문수리 끌리는 소리와 덜컹거림 해결,2026-06-06,문수리,367,9
case-2026-06-06-sink-collapse.html,posts_md/2026/case-2026-06-06-sink-collapse.md,"울산 북구 세면대 교체, 신천동 무지개아파트 세면대 붕괴 복구",2026-06-06,욕실수리,364,8
case-2026-06-07-led-module.html,posts_md/2026/case-2026-06-07-led-module.md,"울산 북구 매곡동 에일린의뜰 전등 깜빡임, LED 모듈 교체로 밝고 편안하게",2026-06-07,조명수리,320,8
